id,type,source,target
6153,!,10558,72918
6154,!,23319,94938
6155,!,49209,55179
6156,!,94265,15868
6157,!,109568,109600
6158,/,51126,19932
6159,/,95046,21170
6160,/,23202,26513
6161,/,103955,26513
6162,/,23002,22871
6163,/,44301,44281
6164,/,15755,46178
6165,/,104028,46178
6166,/,46454,46428
6167,/,46876,47136
6168,/,57311,57028
6169,/,9476,59329
6170,/,74725,61063
6171,/,65701,65728
6172,/,71639,71707
6173,/,43524,71188
6174,/,82034,82017
6175,/,93007,93009
6176,/,75244,98303
6177,/,104967,99726
6178,/,96856,99619
6179,/,106276,106208
6180,/,107989,107994
6181,/,72732,111892
6182,/,21284,20598
6183,/,26513,6005
6184,/,26513,63400
6185,/,27428,83314
6186,/,22274,11705
6187,/,22274,37033
6188,/,31304,31302
6189,/,44292,29582
6190,/,46178,1875
6191,/,46178,96087
6192,/,46619,89290
6193,/,53957,54252
6194,/,57168,30459
6195,/,59034,59024
6196,/,60960,60922
6197,/,60960,60952
6198,/,60960,60978
6199,/,61016,61009
6200,/,59897,59902
6201,/,62418,62411
6202,/,62418,62414
6203,/,64088,61518
6204,/,66696,66695
6205,/,68824,83503
6206,/,71188,71193
6207,/,79956,32501
6208,/,81882,81881
6209,/,87452,32648
6210,/,87452,86208
6211,/,88668,88625
6212,/,88635,88639
6213,/,91292,91274
6214,/,94206,94210
6215,/,98303,36577
6216,/,98813,99994
6217,/,101180,101496
6218,/,99619,96856
6219,/,106292,17318
6220,/,109025,109029
6221,/,110706,28915
6222,\,2637,2635
6223,\,2021,2216
6224,\,2022,2216
6225,\,2561,2219
6226,\,16501,16506
6227,\,16501,16474
6228,\,996,994
6229,\,1040,1043
6230,\,1794,1839
6231,\,3710,3723
6232,\,3719,3721
6233,\,5884,5877
6234,\,70925,6185
6235,\,8888,10105
6236,\,13266,14191
6237,\,14527,14948
6238,\,14557,14948
6239,\,15406,15471
6240,\,15729,15672
6241,\,24166,14476
6242,\,82931,17847
6243,\,3648,3645
6244,\,50705,3645
6245,\,6360,6605
6246,\,8273,8286
6247,\,14638,14739
6248,\,14889,14914
6249,\,82934,15243
6250,\,15257,15260
6251,\,15795,15791
6252,\,17586,17652
6253,\,17793,17786
6254,\,14411,14405
6255,\,18259,18291
6256,\,74129,18466
6257,\,82984,18466
6258,\,18519,18521
6259,\,19246,19245
6260,\,19985,19977
6261,\,19025,111906
6262,\,9924,19444
6264,\,23065,19444
6265,\,19520,19483
6266,\,19852,19741
6267,\,183,19960
6268,\,20339,20347
6269,\,85018,20587
6270,\,20863,21284
6271,\,21287,21286
6272,\,21715,21713
6273,\,20136,20130
6274,\,100574,20949
6275,\,21094,21092
6276,\,21574,21557
6277,\,21582,21557
6278,\,21641,21643
6279,\,22489,22490
6280,\,23343,23334
6281,\,37176,26012
6282,\,26367,26377
6283,\,49624,21823
6284,\,21931,21928
6285,\,1119,22715
6286,\,23460,23589
6287,\,103944,26194
6288,\,26792,26809
6289,\,26824,26828
6290,\,4149,111945
6291,\,28088,28080
6292,\,95829,31022
6293,\,63845,33660
6294,\,85405,38013
6295,\,9147,43439
6296,\,40770,40755
6297,\,40775,40755
6298,\,40840,40857
6299,\,29055,29059
6300,\,31696,31695
6301,\,14026,40041
6302,\,40443,40442
6303,\,112062,28955
6304,\,7660,31896
6305,\,31917,31896
6306,\,31717,32035
6307,\,40376,40381
6308,\,44053,44031
6309,\,44275,44281
6310,\,44278,44281
6311,\,41659,44629
6312,\,44484,44486
6313,\,45384,45381
6314,\,45506,45518
6315,\,9538,46126
6316,\,9538,46178
6317,\,9336,46178
6318,\,38516,46178
6319,\,46863,111955
6320,\,1790,45832
6321,\,33647,45888
6322,\,45589,45931
6323,\,46778,46781
6324,\,46780,46781
6325,\,46817,111958
6326,\,88251,46993
6327,\,8460,47818
6328,\,48165,48175
6329,\,48945,112172
6330,\,48947,112172
6331,\,48938,48964
6332,\,48939,48966
6333,\,48940,112173
6334,\,112171,48965
6335,\,48943,48972
6336,\,48944,48977
6337,\,48946,48977
6338,\,48937,48986
6339,\,47590,112175
6340,\,17345,48358
6341,\,47361,47362
6342,\,48777,112177
6343,\,50383,50393
6344,\,50396,50393
6345,\,37454,50480
6346,\,50693,50697
6347,\,53648,53662
6348,\,53847,53849
6349,\,54133,54149
6350,\,2284,54237
6351,\,54233,54236
6352,\,106766,54731
6353,\,56004,56001
6354,\,56388,56386
6355,\,56557,55681
6356,\,58112,111960
6357,\,58121,111960
6358,\,57987,58237
6359,\,58445,58447
6360,\,49662,49654
6361,\,50309,50307
6362,\,37568,54071
6363,\,54048,54062
6364,\,54404,54407
6365,\,104161,54601
6366,\,54808,54802
6367,\,23435,55215
6368,\,37652,55273
6369,\,63464,55273
6370,\,55003,55021
6371,\,56399,56391
6372,\,56825,56890
6373,\,51661,57168
6374,\,57024,57022
6375,\,17980,57021
6376,\,57297,57294
6377,\,57603,57606
6378,\,57823,57955
6379,\,54438,54449
6380,\,57844,57827
6381,\,58491,58487
6382,\,58637,58638
6383,\,20767,58763
6384,\,59081,59089
6385,\,59378,59744
6386,\,60663,60659
6387,\,60880,60945
6388,\,74725,61063
6389,\,74725,61075
6390,\,77943,58774
6391,\,30528,59362
6392,\,37943,60565
6393,\,61209,61206
6394,\,59874,59880
6395,\,59876,59880
6396,\,59882,59879
6397,\,42161,61823
6398,\,61937,61951
6399,\,62815,62753
6400,\,64097,64096
6401,\,59459,64846
6402,\,64864,64846
6403,\,64961,64960
6404,\,65513,65522
6405,\,65513,65521
6406,\,65513,65520
6407,\,65827,65790
6408,\,65826,65790
6409,\,65850,65840
6410,\,66226,66228
6411,\,44578,62531
6412,\,65144,65145
6413,\,65674,65676
6414,\,64055,64063
6415,\,64051,64088
6416,\,64278,64380
6417,\,2542,65728
6418,\,53512,112007
6419,\,66766,66778
6420,\,67442,106883
6421,\,38221,67592
6422,\,67545,67592
6423,\,67657,67660
6424,\,67806,67897
6425,\,67537,67578
6426,\,10438,68325
6427,\,68440,68437
6428,\,68444,68437
6429,\,68829,68824
6430,\,68934,68943
6431,\,72390,72426
6432,\,68667,68661
6433,\,69182,69189
6434,\,33946,68649
6435,\,42324,68649
6436,\,96605,68649
6437,\,70413,70410
6438,\,71655,71707
6439,\,72143,71994
6440,\,72777,72754
6441,\,71531,71750
6442,\,72109,72901
6443,\,5562,79050
6444,\,79274,79268
6445,\,79645,80474
6446,\,80661,80682
6447,\,32604,82042
6448,\,42749,82042
6449,\,87514,87513
6450,\,75102,75109
6451,\,75925,112031
6452,\,32392,79113
6453,\,81426,78450
6454,\,76681,76689
6455,\,79207,79209
6456,\,30846,79828
6457,\,24001,79827
6458,\,79948,79956
6459,\,80155,80163
6460,\,80175,80163
6461,\,69422,80243
6462,\,80306,80486
6463,\,81283,81877
6464,\,15142,86860
6465,\,94656,82403
6466,\,13824,87719
6467,\,66936,87719
6468,\,88075,87719
6469,\,88075,87718
6470,\,12862,88336
6471,\,88354,88358
6472,\,89305,89306
6473,\,89313,89315
6474,\,89687,89688
6475,\,90038,90082
6476,\,90058,90082
6477,\,90075,90082
6478,\,90093,90082
6479,\,42836,90082
6480,\,69785,90082
6481,\,91528,91529
6482,\,95675,96426
6483,\,95678,96604
6484,\,89321,89322
6485,\,89865,89864
6486,\,90131,90132
6487,\,90304,90306
6488,\,90687,90690
6489,\,91366,91376
6490,\,42853,90808
6491,\,90922,90923
6492,\,91481,91482
6493,\,91445,91449
6494,\,26408,91588
6495,\,9865,91631
6496,\,91766,91754
6497,\,92042,92047
6498,\,9721,92183
6499,\,9721,92295
6500,\,10248,92295
6501,\,2310,92308
6502,\,92526,92524
6503,\,93278,93282
6504,\,86328,92205
6505,\,92778,92779
6506,\,7035,92835
6507,\,25906,92835
6508,\,93098,93100
6509,\,13149,93167
6510,\,93271,93267
6511,\,81625,93251
6512,\,39010,96440
6513,\,97423,97425
6514,\,97502,97497
6515,\,97595,97589
6516,\,97716,97738
6517,\,97735,97738
6518,\,97710,97659
6519,\,97729,97659
6520,\,97731,97659
6521,\,97742,97659
6522,\,93980,97165
6523,\,75740,98174
6524,\,98194,98223
6525,\,48690,98791
6526,\,67016,98791
6527,\,31154,98813
6528,\,99476,99453
6529,\,100063,100090
6530,\,101529,101525
6531,\,27877,101767
6532,\,100104,99931
6533,\,100105,99931
6534,\,100264,100259
6535,\,100436,100519
6536,\,101815,101822
6537,\,101841,101843
6538,\,102352,102376
6539,\,103695,103702
6540,\,103704,103702
6541,\,103712,103702
6542,\,13438,105958
6543,\,105991,105983
6544,\,107659,107655
6545,\,105629,105628
6546,\,105631,105628
6547,\,105827,105825
6548,\,10021,106208
6549,\,14653,106292
6550,\,107206,107201
6551,\,107414,107409
6552,\,64733,107607
6553,\,75374,107607
6554,\,94524,107607
6555,\,107901,107994
6556,\,108468,108453
6557,\,109317,109347
6558,\,112103,109517
6559,\,109954,109992
6560,\,109968,109992
6561,\,108568,108671
6562,\,109614,109621
6563,\,17068,110222
6564,\,17068,110535
6565,\,24749,110440
6566,\,39524,110440
6567,\,105200,110440
6568,\,110108,110189
6569,\,110735,110738
6570,\,7328,111112
6571,\,7328,111174
6572,\,70402,111110
6573,\,27968,111467
6574,\,111774,111691
6575,/,2467,2464
6576,/,3721,112116
6577,/,17847,85307
6578,/,14739,84936
6579,/,18583,18586
6580,/,18583,18588
6581,/,111908,19042
6582,/,27428,51335
6583,/,41055,89950
6584,/,48426,48926
6585,/,56124,56119
6586,/,59978,59974
6587,/,60436,3956
6588,/,60436,51777
6589,/,60436,60382
6590,/,60945,60938
6591,/,61075,57986
6592,/,61075,84162
6593,/,65728,65700
6594,/,66778,112012
6595,/,68899,68836
6596,/,72429,72413
6597,/,80243,80226
6598,/,87452,24116
6599,/,79257,79259
6600,/,88668,88622
6601,/,88829,88457
6602,/,91588,89804
6603,/,91601,91596
6604,/,92068,22239
6605,/,92068,92062
6606,/,99476,99474
6607,/,110799,4951
6608,/,111088,111082
6609,!,7381,22217
6610,!,80357,109060
6611,\,112242,26665
6612,\,1788,112263
6613,\,34248,112277
6614,\,79341,112333
7010,/,12177,11910
7011,/,86208,87452
